,Country,GENC,Year,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,Income
240,Latvia,LV,2013.0,"62,249","2,029,430",-1.1,-0.4,32.6,"-8,095",1.49,10.2,0.73,73.8,5.5,14.1,"28,691",-7,"-14,262",69.9,18.0,45.0,57.8,59.5,44.8,Europe,H
241,Lebanon,LB,2013.0,"10,230","5,145,013",17.8,0.98,502.9,"50,495",1.75,15,0.85,77,8.3,5.2,"26,864",168.1,"865,049",79.3,41.7,61.2,59.2,77.4,42.2,Asia,UM
242,Lithuania,LT,2013.0,"62,680","2,943,358",-0.95,-0.38,47,"-11,059",1.58,10.2,0.77,74.2,3.9,13.9,"40,944",-5.7,"-16,807",66.85,16.5,42.7,57.75,43.7,40.3,Europe,H
243,Luxembourg,LU,2013.0,"2,586","545,475",2.32,0.42,210.9,"2,293",1.61,11.2,0.78,82.4,3.4,7,"3,822",19,"10,348",124.4,68.3,97.4,111.8,131.0,137.6,Europe,H
244,Malaysia,MY,2013.0,"328,657","30,399,783",1.35,1.19,92.5,"361,712",2.03,16.6,0.98,75.7,6.3,4.7,"142,202",1.6,"50,000",56.16,16.1,36.96,53.86,30.5,55.220000000000006,Asia,UM
245,Malta,MT,2013.0,316,"426,039",0.94,0.19,"1,348.20",796,1.38,9.5,0.66,81.8,5.6,7.6,"3,236",7.6,"3,224",91.7,24.3,59.4,78.9,84.4,95.1,Europe,H
246,Mexico,MX,2013.0,"1,943,945","119,228,748",1.31,1.4,61.3,"1,663,764",2.2,19.1,1.07,75,13.4,5.1,"611,379",-0.9,"-106,951",55.525,16.775,36.9,52.6,41.15,69.325,North America,UM
247,Moldova,MD,2013.0,"32,891","3,901,481",-0.18,-0.2,118.6,"-7,910",1.24,10.5,0.6,69.2,14.6,12.6,"49,009",0.2,765,47.2,12.9,30.8,38.3,38.0,24.9,Europe,LM
248,Mongolia,MN,2013.0,"1,553,556","2,911,859",1.43,1.51,1.9,"43,981",2.27,21.5,1.1,68.7,24.4,6.4,"18,694",-0.9,"-2,500",63.8,28.3,46.8,70.0,42.6,27.6,Asia,LM
249,Morocco,MA,2013.0,"716,550","33,440,544",1.15,1.38,46.7,"461,438",2.5,20.5,1.22,71.2,24.7,6.7,"223,964",-2.3,"-75,734",49.4,27.6,39.0,39.2,37.7,23.8,Africa,LM
250,Nepal,NP,2013.0,"143,351","27,907,012",1.43,1.59,194.7,"443,672",2.4,21.7,1.16,69.8,32.1,5.8,"161,534",-1.6,"-45,237",38.5,4.1,22.0,36.9,24.7,22.2,Asia,L
251,Netherlands,NL,2013.0,"33,893","16,762,211",0.29,0.18,494.6,"30,096",1.69,10.2,0.82,81.2,3.7,8.4,"141,245",1.1,"19,104",107.58,53.17999999999999,81.48,84.82000000000001,114.52,96.44,Europe,H
252,New Zealand,NZ,2013.0,"264,537","4,377,391",1.18,0.67,16.5,"29,149",2.08,13.4,1.01,81.7,3.7,6.8,"29,568",5.1,"22,468",116.5,46.03333333333333,82.7,112.3,99.13333333333333,87.13333333333333,Oceania,H
253,Nigeria,NG,2013.0,"910,768","179,546,969",2.59,2.64,197.1,"4,730,820",5.21,37.5,2.53,56.3,73.6,11.2,"2,002,647",-0.5,"-88,052",99.9,25.3,64.1,104.6,71.3,26.8,Africa,LM
254,North Macedonia,MK,2013.0,"25,433","2,094,132",0.25,0.19,82.3,"3,930",1.47,11.1,0.7,75.2,9.8,9.2,"19,208",0.7,"1,391",53.6,12.7,33.9,42.0,38.1,31.2,Europe,UM
255,Norway,NO,2013.0,"304,282","5,082,802",1.14,0.35,16.7,"17,713",1.8,11.6,0.88,81.7,2.4,8.1,"41,282",7.9,"40,073",177.825,74.1,128.075,163.2,193.775,90.7,Europe,H
