Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,year,Continent
Croatia,74.16666666666667,16.933333333333334,46.699999999999996,65.16666666666667,52.73333333333333,46.36666666666667,2013,Europe
Cyprus,101.44999999999999,26.85,65.65,87.65,104.95,71.25,2013,Europe
Czech Republic,63.5,21.233333333333334,43.199999999999996,54.76666666666667,42.166666666666664,63.96666666666667,2013,
Denmark,125.0,50.0,89.0,109.9,139.10000000000002,97.25,2013,Europe
Dominican Republic,63.4,16.6,41.0,63.2,43.0,51.9,2013,North America
Ecuador,45.85,13.9,30.5,48.2,25.35,24.8,2013,South America
Egypt,45.9,13.1,30.2,40.9,39.1,21.4,2013,Africa
Estonia,74.2,17.8,47.1,64.2,59.6,52.4,2013,Europe
Ethiopia,59.8,24.3,42.8,62.5,26.1,11.5,2013,Africa
Finland,110.4,44.5,78.8,105.1,108.95,96.75,2013,Europe
France,109.85999999999999,42.4,77.48,101.24,108.4,100.53999999999999,2013,Europe
Georgia,55.5,16.4,36.7,46.4,48.2,28.1,2013,Asia
Germany,94.63,36.47,66.7,82.11,82.84,119.49000000000001,2013,Europe
Greece,90.96666666666665,18.7,56.26666666666667,72.66666666666667,88.93333333333334,46.0,2013,Europe
Hong Kong (China),84.4,139.6,110.9,87.3,66.7,90.1,2013,
Hungary,63.75,12.35,39.099999999999994,52.05,47.35,42.55,2013,Europe
Iceland,111.6,39.1,76.8,115.0,98.0,77.0,2013,Europe
India,31.915,7.805,20.335,33.15,19.085,62.529999999999994,2013,Asia
Indonesia,57.6,26.3,42.6,62.9,28.9,31.3,2013,Asia
Iran,55.599999999999994,24.35,40.6,56.849999999999994,41.7,34.0,2013,Asia
Ireland,113.43333333333334,41.96666666666667,79.16666666666667,108.5,106.89999999999999,94.03333333333335,2013,Europe
Israel,94.06666666666666,34.699999999999996,65.56666666666666,77.8,95.73333333333335,72.83333333333333,2013,Asia
Italy,105.71,41.54,74.91,91.56,107.30999999999999,67.03999999999999,2013,Europe
Japan,121.7,71.4,97.6,121.8,76.8,85.6,2013,Asia
Jordan,67.9,15.7,42.8,59.9,58.2,38.2,2013,Asia
Kazakhstan,65.8,26.9,47.1,50.4,68.0,36.4,2013,Asia
Kenya,61.1,23.3,43.0,63.3,35.5,28.5,2013,Africa
Kuwait,90.5,42.5,67.5,86.4,110.7,57.4,2013,Asia
Latvia,69.9,18.0,45.0,57.8,59.5,44.8,2013,Europe
Lebanon,79.3,41.7,61.2,59.2,77.4,42.2,2013,Asia
Lithuania,66.85,16.5,42.7,57.75,43.7,40.3,2013,Europe
Luxembourg,124.4,68.3,97.4,111.8,131.0,137.6,2013,Europe
Malaysia,56.160000000000004,16.1,36.96,53.86,30.5,55.220000000000006,2013,Asia
Malta,91.7,24.3,59.4,78.9,84.4,95.1,2013,Europe
Mexico,55.525,16.775,36.9,52.6,41.15,69.325,2013,North America
Moldova,47.2,12.9,30.8,38.3,38.0,24.9,2013,Europe
Mongolia,63.8,28.3,46.8,70.0,42.6,27.6,2013,Asia
Morocco,49.4,27.6,39.0,39.2,37.7,23.8,2013,Africa
Nepal,38.5,4.1,22.0,36.9,24.7,22.2,2013,Asia
Netherlands,107.58,53.17999999999999,81.48,84.82000000000001,114.52000000000001,96.44,2013,Europe
New Zealand,116.5,46.03333333333333,82.7,112.3,99.13333333333333,87.13333333333333,2013,Oceania
Nigeria,99.9,25.3,64.1,104.6,71.3,26.8,2013,Africa
North Macedonia,53.6,12.7,33.9,42.0,38.1,31.2,2013,Europe
Norway,177.825,74.1,128.075,163.2,193.775,90.7,2013,Europe
Oman,59.6,36.2,48.3,58.1,50.2,138.9,2013,Asia
Pakistan,36.36666666666667,8.3,22.866666666666664,32.666666666666664,29.86666666666667,28.066666666666666,2013,Asia
Panama,59.7,36.5,48.6,61.4,47.3,42.5,2013,North America
Paraguay,52.5,11.1,32.6,49.5,36.3,39.3,2013,South America
Peru,55.6,23.5,40.2,49.5,40.2,41.8,2013,South America
Philippines,50.125,18.425,34.925,50.3,27.75,24.7,2013,Asia
Poland,55.75555555555556,18.233333333333334,37.74444444444444,45.922222222222224,41.82222222222222,53.27777777777778,2013,Europe
Portugal,74.425,22.9,49.7,60.6,55.475,55.275,2013,Europe
Puerto Rico,82.1,25.9,55.1,80.3,72.3,89.1,2013,North America
Qatar,84.4,84.1,84.2,75.0,81.2,147.5,2013,Asia
Romania,54.44,14.76,35.4,49.160000000000004,38.339999999999996,34.540000000000006,2013,Europe
Russia,72.23333333333333,43.13333333333333,58.26666666666667,56.6,79.26666666666667,47.166666666666664,2013,Europe
Saudi Arabia,78.15,18.1,49.3,70.1,37.55,104.94999999999999,2013,Asia
Serbia,56.95,13.75,36.2,45.7,45.05,37.150000000000006,2013,Europe
Singapore,106.3,103.0,104.7,92.9,63.9,59.7,2013,Asia
Slovakia,70.5,27.299999999999997,49.75,59.6,49.3,52.85,2013,Europe
Slovenia,80.35,25.1,53.85,70.75,60.349999999999994,57.25,2013,Europe
South Africa,65.60000000000001,25.333333333333332,46.300000000000004,55.9,53.63333333333333,96.66666666666667,2013,Africa
