,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
537,Italy,IT,2016,Europe,H,294140,61499222,0,-0.23,209.1,-141823,1.27,7.7,0.62,82.7,3.1,10,615261,2.3,143758,68.99,22.77,46.77,59.37,73.73,94.43
538,Jamaica,JM,2016,North America,UM,10831,2814150,-0.03,0.9,259.8,25409,2.11,16.8,1.03,73.8,13.2,7.7,21731,-9.4,-26340,66.7,17,42.8,62.3,40.3,41.7
539,Japan,JP,2016,Asia,H,364485,126461255,-0.17,-0.25,347,-315017,1.44,8,0.7,84,2,10.5,1326145,0.8,94438,82.8,32.3,58.5,91.07,49.1,106.53
540,Jordan,JO,2016,Asia,LM,88802,10040615,2.03,2.03,113.1,204060,3.18,23.7,1.54,74.6,15.9,3.4,34269,0,0,55.1,13.4,35.1,44.7,53.4,50.3
541,Kazakhstan,KZ,2016,Asia,UM,2699700,18580056,1.34,1.45,6.9,269537,2.69,21.6,1.3,72.8,15.1,7.1,131122,-1.1,-21144,31.3,11.1,21.6,25.2,33.6,61.8
542,Kenya,KE,2016,Africa,LM,569140,48932882,2.16,2.37,86,1161148,3.75,29.4,1.86,67.2,34.4,5.7,279152,-2.1,-102819,45.1,19,32.6,40.2,35.6,25.1
543,Kuwait,KW,2016,Asia,H,17818,2833699,1.54,1.74,159,49411,2.45,19.6,1.2,78,8.2,2.1,6044,-2.1,-5805,87,43.6,66.1,108.2,43.9,117.1
544,Latvia,LV,2016,Europe,H,62249,1965848,-1.06,-0.46,31.6,-8938,1.51,9.9,0.74,74.5,5.3,14.4,28368,-6,-11879,47.8,13,31.1,35.8,41,63
545,Lebanon,LB,2016,Asia,UM,10230,6232203,0.84,0.95,609.2,58993,1.73,14.4,0.84,77.6,7.9,4.9,30686,-1.1,-6636,66.4,42.8,55.1,49.1,68.7,65.4
546,Libya,LY,2016,Africa,UM,1759540,6351165,1.94,2.02,3.6,128491,3.35,26.3,1.63,69.8,15.2,6.1,38437,-0.8,-5069,43.1,16.6,30.4,41.1,35.2,72
547,Lithuania,LT,2016,Europe,H,62680,2855139,-1.03,-0.44,45.6,-12627,1.59,10,0.77,74.7,3.8,14.5,41284,-5.9,-16716,46.7,14.9,31.4,38.2,37.9,62.2
548,Luxembourg,LU,2016,Europe,H,2586,582432,2.06,0.43,225.2,2496,1.61,11.4,0.78,82.5,3.4,7.2,4165,16.3,9502,84.4,48.9,67.4,73.4,89.9,156.6
549,Malaysia,MY,2016,Asia,UM,328657,31647285,1.25,1.09,96.3,346002,1.95,16.1,0.94,75.5,6.6,5.1,162201,1.6,50000,41.1,11.28,26.76,43.2,21.62,88.54
550,Maldives,MV,2016,Asia,UM,298,392506,-0.09,1.18,1317.1,4619,1.73,15.7,0.85,75.6,29.5,3.9,1523,-12.7,-4985,57,29.7,43.9,60.5,35.9,35.9
551,Malta,MT,2016,Europe,H,316,439578,1.14,0.25,1391.1,1079,1.46,10,0.71,82.5,4.9,7.6,3319,9,3944,65.5,25,46,58.8,71.2,77
552,Mexico,MX,2016,North America,UM,1943945,123576658,1.09,1.17,63.6,1440143,2.04,17.3,1,74.8,13.7,5.6,691947,-0.8,-97105,37.28,10.56,24.43,35.08,30.81,91.99
553,Moldova,MD,2016,Europe,LM,32891,3801856,-1.54,-0.33,115.6,-12473,1.2,9.6,0.58,69.7,14.2,12.9,48928,-12.1,-46102,25.9,7.2,16.9,20.6,17.7,32.1
554,Mongolia,MN,2016,Asia,LM,1553556,3030679,1.25,1.33,2,40273,2.13,19.6,1.04,69.6,22.9,6.3,19135,-0.8,-2500,66.5,35.4,51.5,68,36,20.6
555,Montenegro,ME,2016,Europe,UM,13452,618126,-0.27,0.18,46,1105,1.84,12.3,0.9,76.5,3.5,10.5,6464,-4.5,-2787,39,11.2,25.6,31.1,35.2,55.4
556,Morocco,MA,2016,Africa,LM,716550,34591211,1.1,1.29,48.3,445282,2.42,19.5,1.18,72.1,22.1,6.6,229281,-1.9,-64623,39.45,14,27.2,34.85,24.5,49.2
557,Namibia,,2016,Africa,UM,823290,2436731,1.98,1.98,3,48263,3.36,27.8,1.65,63.7,35.9,8,19512,0,0,40.5,18.6,30,35.2,34.7,45.1
558,Nepal,NP,2016,Asia,L,143351,28983737,1.17,1.42,202.2,411917,2.18,19.9,1.06,70.7,28.9,5.6,163271,-2.5,-72028,30.7,4.6,18.2,28.5,16.2,27.9
559,Netherlands,NL,2016,Europe,H,33893,16987697,0.61,0.14,501.2,23523,1.67,10.2,0.81,81.5,3.5,8.8,148997,4.7,79194,73.22,33.82,54.28,58.24,81.76,129.32
560,New Zealand,NZ,2016,Oceania,H,264537,4614016,1.98,0.61,17.4,28248,1.94,12.9,0.95,82,3.5,6.8,31179,13.7,62965,77.13,28.97,53.98,71.13,73.6,112.67
561,Nigeria,NG,2016,Africa,LM,910768,193466758,2.4,2.57,212.4,4980169,4.98,35.9,2.42,58.1,67,10.2,1969195,-1.7,-334432,56.9,30,44,48.5,44.9,42.6
562,North Macedonia,MK,2016,Europe,UM,25433,2110184,0.22,0.12,83,2547,1.47,10.9,0.71,75.5,8.3,9.7,20455,1,2135,31.4,6,19.2,26.65,21.75,50.35
563,Norway,NO,2016,Europe,H,304282,5238793,0.84,0.35,17.2,18164,1.72,11.2,0.83,82.4,2.1,7.8,40726,5,26076,105.48,40.72,74.36,97.78,115.82,122.18
564,Oman,OM,2016,Asia,H,309500,3347125,2.04,2.09,10.8,69812,2.84,24.2,1.38,75.5,16.3,3.4,11214,-0.4,-1487,55.6,28.3,42.5,51.1,47,157.5
565,Pakistan,PK,2016,Asia,LM,770875,214750792,1.93,2.28,278.6,4894822,3.91,29.5,1.91,67.8,62.3,6.7,1431041,-3.5,-749661,30.2,6.77,18.93,28.27,22.53,45.2
566,Panama,PA,2016,North America,UM,74340,3850896,1.7,1.43,51.8,55228,2.54,19.5,1.22,78.3,14.7,5.2,19978,2.6,10092,59.3,34.4,47.4,59.8,57.3,44.2
567,Paraguay,PY,2016,South America,UM,397302,6859115,1.17,1.18,17.3,80956,1.91,16.5,0.93,77.1,26.6,4.7,31978,-0.1,-504,30.3,8.3,19.7,24.7,22.2,51
568,Peru,PE,2016,South America,UM,1279996,30166474,0.36,1.39,23.6,419447,2.4,19.3,1.17,76.6,11.6,5.4,163752,-10.4,-312437,41.7,15.6,29.1,38.5,29.3,53.7
569,Philippines,PH,2016,Asia,LM,298170,103351132,1.35,1.71,346.6,1766464,2.84,22.8,1.39,70.7,22.7,5.7,586549,-3.6,-373320,37.98,11.93,25.47,37.95,21.55,44.15
570,Poland,PL,2016,Europe,H,304255,38514598,-0.03,-0.03,126.6,-13274,1.36,9.8,0.66,77.8,4.4,10.1,389585,0,1500,38.66,12.96,26.3,30.83,31.42,76.71
571,Portugal,PT,2016,Europe,H,91470,10400888,-0.31,-0.23,113.7,-23447,1.36,8.4,0.66,80.5,3.3,10.6,110573,-0.8,-8348,48.5,14.16,32.02,39.68,38.68,72.88
572,Puerto Rico,PR,2016,North America,H,8869,3411561,-1.78,0,384.7,52,1.24,8.3,0.6,80.6,6.6,8.3,28353,-17.8,-60773,71.2,25.3,49.1,70,63.9,101.7
573,Qatar,QA,2016,Asia,H,11586,2259867,2.65,0.84,195.1,18942,1.92,9.8,0.95,78.6,7.4,1.4,3210,18.1,40923,70,75.1,72.5,59.4,69.9,144
574,Romania,RO,2016,Europe,UM,229891,19722552,-0.76,-0.25,85.8,-49259,1.72,10.6,0.84,75.6,7.2,13.1,258896,-5.1,-99735,35.07,7.89,22.01,29.72,27.25,56.28
575,Saudi Arabia,SA,2016,Asia,H,2149690,32003091,1.8,1.36,14.9,434670,2.16,16.8,1.06,75.3,14,3.2,102808,4.4,140552,56.23,14.73,36.3,56.77,31.83,149.07
576,Serbia,RS,2016,Europe,UM,77474,7015855,-0.52,-0.52,90.6,-36100,1.44,9.2,0.7,75.2,5.3,14.4,100834,0,0,32.93,6.53,20.23,25.57,25.87,49.43
577,Singapore,SG,2016,Asia,H,709,5576352,1.12,0.67,7865.1,37219,1.2,10.3,0.59,85,1.7,3.6,20146,4.5,25000,83.7,73.9,79,75.8,53.8,110.5
578,Slovenia,SI,2016,Europe,H,20151,2100372,0.06,0.01,104.2,117,1.57,9.7,0.77,80.9,1.6,9.6,20228,0.5,1051,52.65,13.45,33.8,42.65,41,87
579,South Africa,ZA,2016,Africa,UM,1214470,55372293,1.14,1.33,45.6,735868,2.43,20.9,1.2,68.6,25.6,7.6,422524,-1.9,-105603,34.52,13.64,24.48,29.32,30.26,130.28
580,Spain,ES,2016,Europe,H,498980,46159139,0.19,0,92.5,-28,1.4,8.9,0.68,82.7,2.7,8.9,410611,1.9,87421,55.46,19.08,37.98,46.63,53.56,106.06
581,Sri Lanka,LK,2016,Asia,LM,64630,21023123,0.04,0.92,325.3,193166,2.2,15.7,1.07,76.1,7.5,6.5,136464,-8.8,-184833,38.1,11.9,25.5,42,24.7,27
582,Sweden,SE,2016,Europe,H,410335,9961459,1.44,0.27,24.3,26390,1.84,11.8,0.89,82.4,2.5,9.1,90982,11.8,117127,74.53,27.7,52.03,67.03,75.83,136.53
583,Switzerland,CH,2016,Europe,H,39997,8354268,0.91,0.27,208.9,22919,1.55,10.5,0.75,83.3,3.3,7.8,64964,6.4,53014,124.39,56.86,91.93,124.03,123,179.54
584,Tanzania,TZ,2016,Africa,L,885800,53601096,3.19,3.06,60.5,1639801,4.88,37,2.4,66.5,39.4,6.4,340792,1.3,69617,57.5,31.3,44.9,51.4,41.3,41.8
585,Thailand,TH,2016,Asia,UM,510890,68346863,0.39,0.36,133.8,248831,1.53,10.9,0.74,76,7.3,7.3,495782,0.2,14872,43.48,17.55,31,48.23,23.73,43.2
586,Tunisia,TN,2016,Africa,LM,155360,11284841,1.07,1.26,72.6,141825,2.29,18.9,1.11,75.4,13.6,6.3,71409,-1.8,-20732,34.1,7.8,21.5,33,23.9,39.6
587,Ukraine,UA,2016,Europe,LM,579330,44161657,-0.47,-0.47,76.2,-206537,1.48,10.2,0.72,71.5,8.2,14.9,655733,0,0,28.64,9.4,19.42,22.76,22.2,28.32
588,United Arab Emirates,AE,2016,Asia,H,83600,9432801,1.26,0.96,112.8,90853,1.7,10.9,0.83,78.4,5.7,1.3,12183,2.9,27740,63.17,58.73,61.07,55.8,57,143.13
589,United Kingdom,GB,2016,Europe,H,241930,65344284,0.67,0.29,270.1,186882,1.82,11.9,0.89,81.2,3.9,9,587936,3.8,248553,81.36,36.65,59.88,70.03,85.67,121.54
590,United States,US,2016,North America,H,9151125,323071755,0.73,0.37,35.3,1201627,--,12.2,--,--,--,8.5,2744248,3.2,1028522,76.32,40.27,59,79.66,69.29,142.16
591,Uruguay,UY,2016,South America,H,175015,3353404,0.27,0.36,19.2,12078,1.81,13,0.89,77.3,9.2,9.4,31492,-0.9,-3000,57,16.3,37.5,47.6,52,52
592,Uzbekistan,UZ,2016,Asia,LM,425400,31630582,1.72,1.81,74.4,571379,2.49,23,1.19,75,20,4.9,154791,-0.8,-26248,45.8,12.8,29.9,40.8,29.9,29.7
593,Vietnam,VN,2016,Asia,LM,310070,97355565,1.18,1.21,314,1177142,2.09,17.7,0.98,74.5,16.5,5.6,547502,-0.3,-27818,42,14.7,28.85,41.35,20.1,28
594,Zambia,ZM,2016,Africa,LM,743398,16408846,3.06,3.03,22.1,497292,4.97,37.3,2.45,64.1,43,6.9,113959,0.3,4022,55.5,31.9,44.1,40.9,31.9,149.9
595,Zimbabwe,ZW,2016,Africa,L,386847,14382989,2.42,2.47,37.2,355515,3.81,33.3,1.88,62.6,40.9,8.5,122756,-0.5,-7473,55.2,15.8,36.3,42.8,48.3,34.9
596,Albania,AL,2017,Europe,UM,27398,3055278,0.31,0.63,111.5,19305,1.51,13.1,0.72,78.8,11.6,6.8,20613,-3.3,-10000,33.5,9.3,21.9,26.7,25.4,33.2
597,Algeria,DZ,2017,Africa,UM,2381740,41506194,2.05,2.14,17.4,889089,3.16,25.5,1.54,77.6,21,4.1,170911,-1,-39524,36.3,9.6,23.5,36.1,26.2,35.5
598,Argentina,AR,2017,South America,H,2736690,44292731,0.91,0.92,16.2,408054,2.26,16.7,1.1,77.3,10.3,7.5,331648,-0.1,-4249,54.7,15.1,35.7,45.9,53.5,56.9
599,Armenia,AM,2017,Asia,UM,28203,3045086,-0.21,0.35,108,10735,1.64,12.9,0.78,74.9,13.6,9.4,28678,-5.7,-17227,34.6,10.9,23.2,26.6,32.4,33.3
600,Australia,AU,2017,Oceania,H,7682300,24370179,1.57,0.58,3.2,141847,1.74,12.4,0.85,82.6,3.1,6.6,160909,9.9,241770,80.29,41.14,61.52,77.43,76.61,108.94
601,Austria,AT,2017,Europe,H,82445,8752360,0.46,-0.01,106.2,-1157,1.47,9.5,0.72,81.6,3.4,9.6,84244,4.8,41557,66.15,25.85,46.85,58,62.85,105.9
602,Azerbaijan,AZ,2017,Asia,UM,82629,10227206,0.92,0.91,123.8,93104,1.87,15.1,0.88,75.3,11,6,61184,0.1,1172,28.6,11,20.1,24,30.1,30.6
603,Bahrain,BH,2017,Asia,H,760,1410746,2.26,1.05,1856.2,14817,1.75,13.2,0.86,79,11.2,2.7,3852,12.1,17027,58.3,30.9,45.2,53.7,52.4,101.2
604,Bangladesh,BD,2017,Asia,LM,130170,157720078,1.03,1.34,1211.6,2109575,2.17,18.7,1.06,73.4,34.3,5.3,841333,-3.1,-480958,37.3,6.7,22.7,33,26.5,38.6
605,Belarus,BY,2017,Europe,UM,202900,9687585,-0.13,-0.17,47.7,-16775,1.52,10.6,0.74,74.5,2.4,12.3,119303,0.4,3874,34.7,12.6,24.1,28.2,37.9,36.4
606,Belgium,BE,2017,Europe,H,30278,11482059,0.69,0.15,379.2,16734,1.78,11.3,0.87,81,3.4,9.9,113086,5.4,62270,79.4,26.85,54.23,75.08,80.8,89.1
607,Bermuda,BM,2017,North America,H,54,70928,0.45,0.28,1313.5,195,1.93,11.3,0.94,81.2,2.3,8.5,604,1.8,125,141.8,113.4,128.2,131.8,151.4,96.5
608,Brazil,BR,2017,South America,UM,8358140,209969058,0.81,0.83,25.1,1731637,1.78,14.4,0.87,75.7,12.8,6.1,1280763,-0.1,-23334,54.09,16.27,35.96,42.84,43.29,44.72
609,Bulgaria,BG,2017,Europe,UM,108489,7100884,-0.62,-0.59,65.5,-41790,1.46,8.7,0.71,74.7,8.6,14.5,103253,-0.3,-2056,36.47,8.23,22.97,31.07,30.17,48.87
610,Cambodia,KH,2017,Asia,LM,176515,15660221,1.55,1.75,88.7,274325,2.54,23.4,1.24,69.5,32.2,5.9,92257,-2,-31976,50.3,19.9,35.7,54.2,24.4,20.6
611,Canada,CA,2017,North America,H,9093507,36731939,0.86,0.27,4,98519,1.55,10.2,0.75,83.5,4.5,7.6,277772,5.9,215703,70.9,28.64,50.64,69.89,65.91,108.4
612,Chile,CL,2017,South America,H,743812,17786791,0.77,0.74,23.9,130782,1.8,13.5,0.88,78.9,7.1,6.2,109539,0.3,6000,53.6,18,36.5,47,51.4,56.3
613,China,CN,2017,Asia,UM,9326410,1389787047,0.52,0.53,149,7365195,1.62,12.3,0.76,77.3,7.9,7,9724093,-0.1,-192000,50.58,31.28,41.35,52.48,35.03,72.43
614,Colombia,CO,2017,South America,UM,1038700,45744428,0.8,1.06,44,486672,1.96,15.9,0.96,78,12.3,5.3,241794,-2.6,-120606,34.37,10,22.7,29.67,25.1,37.2
615,Costa Rica,CR,2017,North America,UM,51060,4954649,1.17,0.95,97,47290,1.72,13.9,0.84,80.1,6.9,4.3,21521,2.1,10475,62.2,21.6,42.7,63.3,48.4,44.7
616,Croatia,HR,2017,Europe,H,55974,4292667,-0.49,-0.33,76.7,-13992,1.4,9,0.68,76.1,9.5,12.2,52402,-1.7,-7180,48.33,10.4,30.15,40.9,38.05,57.1
617,Cyprus,CY,2017,Europe,H,9241,1221929,1.33,0.46,132.2,5612,1.47,11.3,0.72,78.8,9.3,6.7,8152,8.7,10628,59.05,15.6,38.25,49.65,65.25,97.5
618,Denmark,DK,2017,Europe,H,42434,5773404,0.66,0.16,136.1,9008,1.78,10.8,0.86,80.9,3.2,9.3,53486,5,29000,83.97,32.9,59.5,64.07,100.47,102.07
619,Dominican Republic,DO,2017,North America,UM,48320,10225318,0.99,1.25,211.6,127402,2.3,19,1.13,70.9,24.2,6.6,66982,-2.6,-26098,53.6,13.6,34.4,47.7,43.8,25.8
620,Ecuador,EC,2017,South America,UM,248360,16529880,1.4,1.54,66.6,254028,2.46,19.7,1.2,81.3,11.7,4.3,70777,-1.4,-22319,48.57,13.4,31.73,47.1,34.8,36.43
621,El Salvador,SV,2017,North America,LM,20721,6303924,1.06,1.32,304.2,83136,2.12,19.1,1.03,74.1,13.3,5.9,37307,-2.6,-16404,48,10.2,29.9,43.9,37.8,28.9
622,Estonia,EE,2017,Europe,H,42388,1251222,-0.57,-0.26,29.5,-3261,1.6,10.1,0.78,76.8,3.6,12.7,15918,-3.1,-3923,49.8,14.5,32.9,37.35,50.75,71.15
623,Ethiopia,ET,2017,Africa,L,1096570,99977612,2.74,2.66,91.2,2662818,4.35,33.1,2.14,66.1,40.6,6.5,644384,0.8,77063,47,20.8,34.5,39.7,23.9,15.5
624,Finland,FI,2017,Europe,H,303815,5519372,0.36,0.07,18.2,3806,1.75,10.7,0.85,81.1,2.2,10,55116,2.9,15885,76.77,28.17,53.5,65.23,83.83,109.8
625,France,FR,2017,Europe,H,640427,67094479,0.47,0.24,104.8,163173,1.95,11.5,0.95,82.5,3.2,9,605973,2.3,153007,72.47,25.62,50.03,66.37,69.85,105.67
626,Georgia,GE,2017,Asia,LM,69700,4985761,0.19,0.24,71.5,11902,2.14,15,1.03,73.3,20.9,12.6,62814,-0.4,-2212,28,8.9,18.9,22.6,26.9,32.2
627,Germany,DE,2017,Europe,H,348672,84123624,0.26,-0.16,241.3,-135407,1.57,9.3,0.77,81.5,3.2,10.9,920308,4.2,356410,67.56,26.84,48.05,51.99,64.17,122.3
628,Ghana,GH,2017,Africa,LM,227533,29479431,2.43,2.4,129.6,706595,3.88,31.1,1.91,67.4,36.5,7.1,208640,0.3,8891,66.2,49.1,58,61.6,46.5,13.3
629,Greece,GR,2017,Europe,H,130647,10698002,-0.27,-0.33,81.9,-34830,1.36,8.3,0.66,80.8,3.7,11.5,123383,0.5,5710,55.38,10.05,33.63,44.6,54.73,58.98
630,Guatemala,GT,2017,North America,UM,107159,16289862,1.74,2.01,152,328145,2.95,25.2,1.44,71.6,29.2,5.1,82865,-2.8,-45492,45.9,16.5,31.8,41.5,35.6,48.2
631,Hungary,HU,2017,Europe,H,89608,10074518,-0.13,-0.44,112.4,-44499,1.49,9.3,0.72,75.6,4.8,13.7,137653,3.1,31641,43.9,15,30,34.4,33.1,52.3
632,Iceland,IS,2017,Europe,H,100250,339755,1.13,0.73,3.4,2482,2,13.7,0.98,83.1,1.7,6.4,2167,4,1347,111.6,49.7,81.9,104.2,120.4,77.4
633,India,IN,2017,Asia,LM,2973193,1327127431,1.09,1.11,446.4,14763508,2.21,17.8,1.05,70.6,34.1,6.7,8886263,-0.2,-263314,25.9,6.76,16.74,26.36,17.6,73.19
634,Indonesia,ID,2017,Asia,LM,1811569,265708968,0.93,1.03,146.7,2725053,2.19,17,1.07,71.7,22,6.8,1795284,-1,-258506,43.53,15.03,29.9,48.73,22.63,28.3
635,Iraq,IQ,2017,Asia,UM,437367,36345459,2.22,2.28,83.1,829495,3.64,27.5,1.77,70.1,23.2,4.7,170820,-0.6,-23414,61.1,18.5,40.6,43.8,59.2,41.3
636,Ireland,IE,2017,Europe,H,68883,4860044,0.94,0.65,70.6,31406,1.74,12.7,0.85,82.1,3,6.3,30418,3,14431,77.78,34.03,56.83,67.08,77.53,109.08
637,Israel,IL,2017,Asia,H,21497,8391005,1.78,1.56,390.3,130978,3.1,20.7,1.51,82.6,3,5.1,42919,2.2,18000,78.7,29.98,55.35,64.95,85.43,90.03
638,Italy,IT,2017,Europe,H,294140,61498899,0,-0.31,209.1,-190910,1.25,7.5,0.6,82.4,3.2,10.6,649061,3.1,188330,77.07,22.93,51.13,67.02,76.35,65.26
639,Jamaica,JM,2017,North America,UM,10831,2813518,-0.01,0.9,259.8,25232,2.1,16.6,1.02,74.2,12.8,7.6,21469,-9.1,-25566,65.4,15.7,41.6,65.7,38,36.1
640,Japan,JP,2017,Asia,H,364485,126215286,-0.22,-0.29,346.3,-365798,1.43,7.8,0.7,84.1,2,10.7,1349011,0.8,94438,91,41.9,67.4,94.8,55.9,98.6
641,Jordan,JO,2017,Asia,UM,88802,10247507,2.05,2.05,115.4,209725,3.19,23.9,1.55,74.8,15.6,3.4,35023,0,0,61.8,13.9,38.8,53.7,57.3,41.7
642,Kazakhstan,KZ,2017,Asia,UM,2699700,18823798,1.27,1.39,7,261222,2.64,20.7,1.28,73.4,13.5,6.9,128995,-1.2,-22130,32.7,13.1,23.3,26.2,33.8,49.6
643,Kenya,KE,2017,Africa,LM,569140,50035005,2.29,2.33,87.9,1165167,3.67,28.8,1.82,67.6,33.2,5.6,277993,-0.4,-19249,42.4,14.2,28.9,39.8,34.5,28.6
644,Kuwait,KW,2017,Asia,H,17818,2876506,1.46,1.71,161.4,49032,2.4,19.2,1.17,78.2,8.1,2.2,6192,-2.4,-7024,91.4,39.1,66.3,107.5,52.7,77
645,Latvia,LV,2017,Europe,H,62249,1945078,-1.07,-0.48,31.2,-9263,1.51,9.8,0.74,74.7,5.2,14.5,28223,-5.9,-11461,49.2,12.9,31.8,36.6,45.6,52
646,Lebanon,LB,2017,Asia,UM,10230,6223873,-1.11,0.93,608.4,57715,1.72,14.2,0.84,77.8,7.8,5,30910,-20.4,-126733,64.3,36.7,51.1,48,60.9,51.8
647,Libya,LY,2017,Africa,UM,1759540,6483076,2.17,2.02,3.7,131173,3.3,25.4,1.61,71.9,14.6,5.2,33496,1.4,9227,49.1,19.9,35.1,47.8,34.5,51.8
648,Lithuania,LT,2017,Europe,H,62680,2825940,-1.03,-0.47,45.1,-13184,1.59,10,0.77,74.9,3.8,14.6,41312,-5.6,-15871,46.7,12.45,30.3,36.15,40.45,52.1
649,Luxembourg,LU,2017,Europe,H,2586,594319,1.98,0.43,229.8,2558,1.62,11.5,0.79,82.5,3.4,7.2,4274,15.5,9220,79.8,51.2,66.1,64.8,94.2,117.1
650,Malaysia,MY,2017,Asia,UM,328657,32040544,1.22,1.06,97.5,340517,1.92,15.9,0.93,75.5,6.9,5.3,168168,1.6,50000,42.78,11.2,27.62,47.74,21.2,68.84
651,Maldives,MV,2017,Asia,UM,298,392156,-0.09,1.19,1316,4649,1.73,15.8,0.84,75.8,28.9,3.9,1542,-12.7,-4986,61.2,32.1,47.2,60.5,42.7,29
652,Malta,MT,2017,Europe,H,316,444458,1.07,0.23,1406.5,1025,1.47,10,0.72,82.6,4.8,7.7,3431,8.4,3711,68.7,29.8,50.1,61.5,75.6,77.2
653,Mexico,MX,2017,North America,UM,1943945,124883590,1.02,1.09,64.2,1364649,1.99,16.7,0.97,74.8,13.6,5.7,714823,-0.8,-93823,31.64,9.37,20.97,29.73,27.96,59.67
654,Moldova,MD,2017,Europe,LM,32891,3740498,-1.72,-0.36,113.7,-13465,1.19,9.2,0.57,70.1,13.8,12.8,48001,-13.6,-50677,28.9,8.5,19.1,22.6,20.5,29.5
655,Mongolia,MN,2017,Asia,LM,1553556,3067699,1.18,1.26,2,38770,2.09,18.9,1.02,69.9,22.4,6.3,19302,-0.8,-2500,57.2,29.8,44,56.7,31.5,22.4
656,Montenegro,ME,2017,Europe,UM,13452,616284,-0.33,0.16,45.8,1003,1.83,12.1,0.9,76.7,3.5,10.4,6428,-4.9,-3005,39,11.3,25.7,30.9,32.5,49.6
657,Morocco,MA,2017,Africa,LM,716550,34968788,1.07,1.25,48.8,438421,2.4,19.2,1.17,72.3,21.6,6.6,231107,-1.8,-63925,39.05,12.85,26.5,35,24.95,42.55
658,Nepal,NP,2017,Asia,L,143351,29313646,1.09,1.38,204.5,404419,2.12,19.4,1.03,71,28.2,5.6,164560,-2.9,-84491,32.4,4.4,19,29.3,18.5,24.5
659,Netherlands,NL,2017,Europe,H,33893,17089200,0.59,0.12,504.2,19622,1.63,9.9,0.79,81.6,3.5,8.8,150214,4.7,80666,73.34,32.4,53.7,59.35,80.79,99.69
660,New Zealand,NZ,2017,Oceania,H,264537,4700525,1.74,0.58,17.8,27048,1.89,12.7,0.92,81.8,3.6,6.9,32607,11.7,54759,81.38,33.6,58.48,73.4,77.28,104.63
661,Nigeria,NG,2017,Africa,LM,910768,198312085,2.54,2.57,217.7,5086494,4.92,35.5,2.39,58.7,65.2,9.9,1960125,-0.2,-41578,42.5,19.4,31.4,38.6,23.1,29.8
662,North Macedonia,MK,2017,Europe,UM,25433,2114687,0.2,0.12,83.1,2519,1.48,10.9,0.72,75.7,8.1,9.7,20439,0.9,1805,34.5,8.1,21.9,27.8,26.1,39.7
663,Norway,NO,2017,Europe,H,304282,5279516,0.71,0.3,17.4,15859,1.63,10.7,0.79,82.6,2.3,7.7,40774,4,21349,108.83,41.55,76.6,99.8,119.95,103.3
664,Oman,OM,2017,Asia,H,309500,3415807,2.02,2.06,11,70518,2.82,24,1.37,75.7,16,3.3,11376,-0.4,-1480,54.4,32.6,43.9,48.9,59.2,119.4
665,Pakistan,PK,2017,Asia,LM,770875,219176700,2.15,2.24,284.3,4914489,3.83,29,1.87,68.1,60.8,6.5,1431805,-1,-207835,31.73,7.4,20.1,28.63,24.5,41.87
666,Panama,PA,2017,North America,H,74340,3932333,2.48,1.42,52.9,55648,2.52,19.4,1.22,78.5,14.8,5.2,20524,10.7,41905,64.2,37.4,51.4,65.8,56.6,35.1
667,Paraguay,PY,2017,South America,UM,397302,6940221,1.18,1.19,17.5,82263,1.9,16.6,0.93,77.3,26,4.7,32609,-0.1,-504,34.1,9.9,22.5,28.2,26.1,38.8
668,Peru,PE,2017,South America,UM,1279996,30282393,0.41,1.35,23.7,407497,2.36,18.9,1.15,76.9,11.3,5.5,165346,-9.3,-282668,43,19.8,31.9,39.5,31,44.4
669,Philippines,PH,2017,Asia,LM,298170,104862154,1.55,1.66,351.7,1741360,2.79,22.3,1.36,70.8,22.4,5.7,599639,-1.1,-112461,38.55,12.08,25.87,37.55,21.97,37.78
670,Poland,PL,2017,Europe,H,304255,38504942,-0.02,-0.02,126.6,-8937,1.45,10.2,0.7,77.8,4.4,10.4,400168,0,1400,37.86,13.43,26.14,29.79,30.61,69.6
671,Portugal,PT,2017,Europe,H,91470,10370571,-0.28,-0.23,113.4,-23432,1.38,8.3,0.67,80.8,2.6,10.6,109586,-0.5,-5406,48.25,15.78,32.7,38.8,38.5,65.25
672,Puerto Rico,PR,2017,North America,H,8869,3352108,-1.74,-0.04,378,-1396,1.22,8.1,0.59,80.8,6.5,8.5,28637,-16.9,-56789,72.4,27,50.7,67.3,71.9,79.2
673,Qatar,QA,2017,Asia,H,11586,2316205,2.28,0.83,199.9,19188,1.91,9.7,0.95,78.8,7.2,1.4,3286,14.5,33623,69,67.1,68.1,55.4,72.4,111.7
674,Romania,RO,2017,Europe,UM,229891,19558508,-0.92,-0.25,85.1,-47892,1.83,11,0.89,75.6,6.8,13.4,262811,-6.7,-131202,35.62,9.6,23.15,29.45,29.28,50.92
