,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
86,Kenya,KE,2011,Africa,L,569140,43054759,3.14,2.76,75.6,1189059,4.33,34.3,2.14,64.6,39.7,6.7,288367,3.8,163576,44,20.5,35.5,39,32.4,34.2
87,Latvia,LV,2011,Europe,UM,62249,2076493,-1.44,-0.47,33.4,-9715,1.31,9.1,0.64,73.3,6.5,13.7,28540,-9.7,-20077,73.2,21,54.5,48.9,77.1,29.6
88,Lithuania,LT,2011,Europe,UM,62680,3015011,-1.72,-0.36,48.1,-10769,1.54,10,0.74,73.7,4.7,13.6,41037,-13.7,-41199,64.1,19.7,48.1,57.9,42.4,32.4
89,Malaysia,MY,2011,Asia,UM,328657,29558924,1.44,1.27,89.9,376131,2.15,17.3,1.04,75.3,6.6,4.6,135463,1.7,50000,50.1,15,37.5,45.1,25.6,86.9
90,Malta,MT,2011,Europe,H,316,418933,0.61,0.21,1325.7,898,1.45,9.9,0.71,80.9,6.1,7.8,3267,4,1659,81.1,30.2,62.8,67.7,77.7,81.6
91,Mexico,MX,2011,North America,UM,1943945,115945440,1.48,1.51,59.6,1752924,2.31,20.1,1.13,74.8,13.7,5,580387,-0.3,-36076,55.68,18.55,42.35,47,45.53,58.6
92,Mongolia,MN,2011,Asia,LM,1553556,2826843,1.53,1.62,1.8,45783,2.36,22.7,1.15,68,25.4,6.5,18409,-0.9,-2500,44.4,18.5,35.1,56,27.6,34.6
93,Montenegro,ME,2011,Europe,UM,13452,622433,-0.05,0.22,46.3,1368,1.65,11.6,0.79,76.3,4.4,9.4,5847,-2.7,-1697,59.5,22.9,46.4,44.8,48.9,27.6
94,Morocco,MA,2011,Africa,LM,716550,32661194,1.2,1.44,45.6,468577,2.55,21.1,1.24,70.5,27,6.8,220903,-2.3,-75392,77.55,23.7,58.2,70.15,49.8,11.15
95,Netherlands,NL,2011,Europe,H,33893,16651538,0.45,0.27,491.3,44319,1.76,10.8,0.86,81.1,3.6,8.2,135741,1.8,29768,114.2,61.9,95.4,70.2,124.4,83.5
